"","date","state.abbr","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","dateModified","checkTimeEt","death","dateChecked","hash","state","Positive_Increase"
"24",2020-06-30,"ME",3253,91699,NA,29,348,9,NA,4,NA,2646,"6/29/2020 23:59","2020-06-29T23:59:00Z","06/29 19:59",105,"2020-06-29T23:59:00Z","015c40316275eeeaa051aefc2083d608f3405997","Maine",NA
"25",2020-06-30,"MI",70728,974329,NA,471,NA,179,NA,98,NA,51099,"6/30/2020 00:00","2020-06-30T00:00:00Z","06/29 20:00",6193,"2020-06-30T00:00:00Z","15d57f7970a11067ec19113a9158a97cf9d010d0","Michigan",NA
"26",2020-06-30,"MN",36303,569013,NA,270,4054,136,1258,NA,NA,31601,"6/29/2020 17:00","2020-06-29T17:00:00Z","06/29 13:00",1476,"2020-06-29T17:00:00Z","87f9ede1be571379e05434e980bb29a4cd5f890e","Minnesota",NA
"27",2020-06-30,"MO",21551,351456,NA,599,NA,NA,NA,66,NA,NA,"6/30/2020 15:00","2020-06-30T15:00:00Z","06/30 11:00",1015,"2020-06-30T15:00:00Z","52dd46d8f983cf42df7b8b93cf341a8455f53512","Missouri",NA
"28",2020-06-30,"MP",30,8187,NA,NA,NA,NA,NA,NA,NA,19,"6/26/2020 00:22","2020-06-26T00:22:00Z","06/25 20:22",2,"2020-06-26T00:22:00Z","6f10aece3f25758f8f49bcdfe98d0a51c1870702","Northern Mariana Islands",NA
"29",2020-06-30,"MS",27247,272444,NA,779,3156,167,NA,91,NA,19388,"6/29/2020 19:00","2020-06-29T19:00:00Z","06/29 15:00",1073,"2020-06-29T19:00:00Z","45f9c6b4345d64865f7b561ef6a1a9acf3e718d0","Mississippi",NA
"30",2020-06-30,"MT",967,89894,NA,12,101,NA,NA,NA,NA,642,"6/30/2020 00:00","2020-06-30T00:00:00Z","06/29 20:00",22,"2020-06-30T00:00:00Z","ebb5259ee62aaf28e57cfb205d224ab6010ee2b2","Montana",NA
"31",2020-06-30,"NC",64670,845363,NA,908,NA,NA,NA,NA,NA,45538,"6/30/2020 11:45","2020-06-30T11:45:00Z","06/30 07:45",1343,"2020-06-30T11:45:00Z","9761dbdd9bfdb2ce42285bfc19942186f9b24764","North Carolina",NA
"32",2020-06-30,"ND",3576,102546,NA,25,231,NA,NA,NA,NA,3195,"6/30/2020 13:00","2020-06-30T13:00:00Z","06/30 09:00",88,"2020-06-30T13:00:00Z","38d1e7f48b522380b1107e7d1e80c62a1ca060f3","North Dakota",NA
"33",2020-06-30,"NE",19042,159115,NA,121,1330,NA,NA,NA,NA,13547,"6/29/2020 12:30","2020-06-29T12:30:00Z","06/29 08:30",269,"2020-06-29T12:30:00Z","366335209c69c383c7731bf5c14c86b212529759","Nebraska",NA
